,Network,maze_01.txt,maze_02.txt,maze_03.txt,maze_04.txt,maze_05.txt,maze_06.txt,maze_07.txt,maze_08.txt,maze_09.txt,maze_10.txt,maze_11.txt,maze_12.txt,maze_13.txt,maze_14.txt,maze_15.txt,maze_16.txt,maze_17.txt,maze_18.txt,maze_19.txt,maze_20.txt,std,mean,error
60,classification-xresnext50-pretrained-0.pkl,855,1485,1622,1407,1168,1115,1040,1116,1343,1663,1592,1079,1248,1055,1094,1790,1041,1008,973,1486,268.88913778926184,1259.0,117.84586053958701
61,classification-xresnext50-pretrained-1.pkl,866,1473,1599,1390,1159,1128,1020,1106,1334,1682,1576,1979,1231,1037,1208,1810,1052,998,975,1494,308.0808634450583,1305.85,135.02239163307615
62,classification-xresnext50-pretrained-2.pkl,842,1475,1610,1055,443,1136,1026,1129,928,1140,1228,1084,1241,1041,1106,1644,1043,985,273,1500,335.28345823857916,1096.45,146.94445445312428
63,classification-xresnext50-pretrained-3.pkl,855,1448,1594,1381,1159,1117,1026,1118,1325,1157,1541,1081,1233,647,1191,1788,1106,997,963,1293,264.5331538270472,1201.0,115.93676639489848
64,classification-xse_resnet18-pretrained-0.pkl,851,1502,1624,1391,1189,1138,1030,1123,1353,1692,1252,2058,630,651,1140,1798,1108,1013,986,1327,364.80876028262725,1242.8,159.88448860875846
65,classification-xse_resnet18-pretrained-1.pkl,884,1473,1601,1376,1167,1125,997,1118,1326,1670,1623,1968,1248,642,1099,1763,1055,1015,985,1490,334.0910488884257,1281.25,146.42185801379017
66,classification-xse_resnet18-pretrained-2.pkl,866,1519,1590,1396,1161,1125,1031,1147,1338,1668,1588,307,1246,1034,1224,1803,1048,1006,239,1465,402.2811892981797,1190.05,176.30750472667737
67,classification-xse_resnet18-pretrained-3.pkl,852,1482,1600,1379,1164,1115,996,1100,1307,1719,1195,1087,1222,1057,1210,1783,1036,1015,979,1501,259.1458591523111,1239.95,113.57568040182213
68,classification-xse_resnet50-pretrained-0.pkl,841,1482,1600,1038,426,1120,1036,1120,928,1089,239,1106,341,1033,1189,1625,1070,1055,976,1467,372.7487477475524,1039.05,163.36434154432393
69,classification-xse_resnet50-pretrained-1.pkl,856,1458,1594,1367,426,154,1035,324,1327,1072,1585,273,1248,154,154,1770,1052,1014,205,1310,556.7576152198218,918.9,244.00978342594982
70,classification-xse_resnet50-pretrained-2.pkl,840,1487,1089,579,902,613,1017,1122,914,1681,222,1080,1246,632,1093,90,1059,987,973,1261,380.3439267709936,944.35,166.69307551747218
71,classification-xse_resnet50-pretrained-3.pkl,847,1466,1603,1377,1156,1101,1021,1127,1328,1672,1230,1095,1220,633,1177,1789,1053,992,962,1476,285.71735665642865,1216.25,125.22115263972398
72,classification-xse_resnext18-pretrained-0.pkl,883,1480,1639,1396,1174,1131,1038,1122,1339,1157,1201,1089,1249,656,1226,1829,1039,1017,977,1259,260.3708842563259,1195.05,114.11257132553939
73,classification-xse_resnext18-pretrained-1.pkl,856,1463,1613,1399,1171,1150,1041,1135,1371,1123,1573,1412,1252,658,1205,1814,1049,1011,981,1483,279.18546938511946,1238.0,122.35842682356143
74,classification-xse_resnext18-pretrained-2.pkl,855,1487,1606,1381,1162,1128,1047,1133,1338,1698,1242,1991,1271,1056,1216,1786,1079,1012,984,1482,297.5954689807873,1297.7,130.4269648936462
75,classification-xse_resnext18-pretrained-3.pkl,853,1486,1642,1413,1173,1137,1034,1115,1361,1686,1608,2041,1270,1069,1148,1826,1075,1015,991,1327,315.1386495196243,1313.5,138.11560276201882
76,classification-xse_resnext18_deep-pretrained-0.pkl,829,1463,1583,1055,1149,1098,1002,1114,1301,1629,1199,1959,1225,1036,1068,1752,1280,980,964,1465,296.34465620820276,1257.55,129.8787720258679
77,classification-xse_resnext18_deep-pretrained-1.pkl,860,1463,1382,1376,1141,1118,1006,1116,895,1671,1195,1926,1215,632,1085,95,1062,984,952,1239,377.36123625987204,1120.65,165.38585376468473
78,classification-xse_resnext18_deep-pretrained-2.pkl,841,1191,1570,1385,1139,1083,528,783,1318,1652,1242,1990,1222,644,426,1446,1057,984,307,1272,425.607429693757,1104.0,186.5306803267438
79,classification-xse_resnext18_deep-pretrained-3.pkl,828,1495,1566,1374,1148,1112,1008,1111,1305,1658,1554,1072,1225,645,1084,1635,1058,988,956,1293,276.3793874178638,1205.75,121.12860717783433
80,classification-xse_resnext18_deeper-pretrained-0.pkl,850,375,1577,1392,426,1154,1031,1123,1378,1666,1205,1078,1231,1085,834,1753,1464,984,984,1293,358.70912934254153,1144.15,157.21120748249868
81,classification-xse_resnext18_deeper-pretrained-1.pkl,850,1174,1553,1361,1146,1099,995,1122,1292,1157,1558,2007,1220,1031,1067,1774,1449,990,972,1293,290.7262231758691,1255.5,127.41638518115154
82,classification-xse_resnext18_deeper-pretrained-2.pkl,841,1475,1415,1373,1149,1112,1020,1168,1332,1655,1582,1951,1237,1026,1180,1759,1060,989,976,1491,293.96768082294534,1289.55,128.83701663158115
83,classification-xse_resnext18_deeper-pretrained-3.pkl,855,1469,1561,1372,1144,1021,990,1111,1323,1664,1197,1964,1230,644,1080,93,1054,986,974,1472,394.90140008548167,1160.2,173.07316950019174
84,classification-xse_resnext50-pretrained-0.pkl,860,1480,1605,1389,1159,1107,868,1111,1333,1689,1581,1089,1254,641,1226,1787,1065,1012,988,1477,303.17659870115307,1236.05,132.8730028410587
85,classification-xse_resnext50-pretrained-1.pkl,853,1481,1612,1396,1164,1127,1021,1129,1328,1684,1608,1095,1247,1050,1195,1787,1064,1009,990,1492,265.99354958542256,1266.6,116.5768130560953
86,classification-xse_resnext50-pretrained-2.pkl,869,1174,1595,1021,1155,1124,1018,1126,1338,1673,1553,1098,1245,1050,834,1779,1052,1003,980,1293,264.9681212205685,1199.0,116.12739926024075
87,classification-xse_resnext50-pretrained-3.pkl,877,1492,1613,1391,1164,1132,1031,1120,1342,1656,1225,1100,1261,652,1213,1798,1065,999,977,1476,281.4927502104675,1229.2,123.36963723021881
88,classification-xse_resnext50_deep-pretrained-0.pkl,902,1468,1055,1384,1152,154,1038,324,908,1140,222,273,324,154,154,95,1047,443,205,1482,501.3968488133925,696.2,219.74685777958234
89,classification-xse_resnext50_deep-pretrained-1.pkl,851,358,375,681,443,154,511,324,1299,375,239,1378,1123,154,154,1745,1436,978,205,1344,516.5046772091686,706.35,226.36815551151227
90,classification-xse_resnext50_deep-pretrained-2.pkl,613,1496,1567,1055,1142,550,783,1117,239,1004,239,1820,324,528,1176,90,1035,443,426,664,483.7705496791244,815.55,212.0217915806124
91,classification-xse_resnext50_deep-pretrained-3.pkl,837,1490,1574,1038,1141,154,970,1109,1356,1089,239,273,1234,1044,154,1810,1047,936,205,1276,496.2416219629517,948.8,217.48747999488685
92,classification-xse_resnext50_deeper-pretrained-0.pkl,840,511,1565,1055,1149,1093,1004,1119,1330,1140,239,1820,597,409,1098,1763,1140,983,256,1310,445.8076615005978,1021.05,195.3838222570883
93,classification-xse_resnext50_deeper-pretrained-1.pkl,856,1486,1586,1055,1164,1128,1022,1125,1323,1702,1590,1975,324,1071,1204,1773,1470,993,989,1253,373.45787827023446,1254.45,163.6751316988368
94,classification-xse_resnext50_deeper-pretrained-2.pkl,843,1475,1446,1055,443,596,1029,1122,1315,1072,1568,341,1225,528,1201,290,1453,981,273,1310,425.5900053238785,978.3,186.52304375994316
95,classification-xse_resnext50_deeper-pretrained-3.pkl,856,1506,1589,1403,1161,1106,1043,783,1290,1659,1616,358,1278,651,1122,1773,1454,986,273,1310,417.20766948090034,1160.85,182.84932309993727
